"","close"
"1",38.450001
"2",38.959999
"3",40.25
"4",41.84
"5",41.740002
"6",41.310001
"7",41.189999
"8",40.93
"9",41.09
"10",40.27
"11",40.59
"12",40.139999
"13",39.900002
"14",39.66
"15",39.950001
"16",38.939999
"17",39.419998
"18",38.080002
"19",37.790001
"20",38.310001
"21",37.349998
"22",37.57
"23",36.18
"24",35.93
"25",36.23
"26",36.700001
"27",36.290001
"28",36.799999
"29",36.5
"30",38.27
"31",38.740002
"32",39.360001
"33",39.32
"34",39.32
"35",38.869999
"36",39.470001
"37",39.400002
"38",38.799999
"39",39.43
"40",39.869999
"41",40.310001
"42",40.189999
"43",41.439999
"44",42.009998
"45",42.849998
"46",42.900002
"47",43.25
"48",43.549999
"49",43.43
"50",43.970001
"51",44.43
"52",43.849998
"53",43.099998
"54",43.400002
"55",44.240002
"56",45.970001
"57",45.41
"58",44.869999
"59",45.650002
"60",45.41
"61",45.189999
"62",45.77
"63",46.169998
"64",45.41
"65",44.369999
"66",44.279999
"67",47.610001
"68",46.740002
"69",47.349998
"70",47.860001
"71",47.91
"72",46.900002
"73",46.77
"74",47.57
"75",48.130001
"76",48.849998
"77",49.209999
"78",48.669998
"79",47.459999
"80",48.380001
"81",49.970001
"82",48.220001
"83",49.130001
"84",46.48
"85",45.709999
"86",44.27
"87",42.349998
"88",45.16
"89",44.740002
"90",46.799999
"91",46.689999
"92",46.110001
"93",45.889999
"94",45.049999
"95",43.07
"96",40.790001
"97",42.060001
"98",40.799999
"99",40.639999
"100",40.470001
"101",42.43
"102",41.759998
"103",40.23
"104",42.580002
"105",43.700001
"106",40.139999
"107",38.540001
"108",39.380001
"109",39.619999
"110",41.150002
"111",40.82
"112",40.779999
"113",41.790001
"114",41.799999
"115",41.529999
"116",41.619999
"117",41.66
"118",40.630001
"119",40.41
"120",39.360001
"121",39.5
"122",38.869999
"123",36.91
"124",36.439999
"125",35.849998
"126",35.43
"127",36.07
"128",37.310001
"129",37.369999
"130",37.970001
"131",37.360001
"132",38.66
"133",38.48
"134",37.73
"135",36.189999
"136",36.509998
"137",37.610001
"138",36.950001
"139",38.59
"140",39.299999
"141",39.970001
"142",37.09
"143",36.130001
"144",35.98
"145",36.57
"146",37.669998
"147",37.23
"148",37.029999
"149",36.529999
"150",36.709999
"151",36.830002
"152",36.450001
"153",35.150002
"154",35.099998
"155",35.16
"156",35.07
"157",35.66
"158",36.049999
"159",35.779999
"160",35.400002
"161",35.099998
"162",35.09
"163",35.060001
"164",34.860001
"165",35.540001
"166",34.82
"167",34.68
"168",36
"169",36.810001
"170",37.119999
"171",37.32
"172",37.049999
"173",36.959999
"174",36.84
"175",37.049999
"176",36.43
"177",36.27
"178",36.029999
"179",36.110001
"180",36.900002
"181",37.009998
"182",37.060001
"183",36.59
"184",37.41
"185",37.720001
"186",37.75
"187",38.639999
"188",38.700001
"189",39.009998
"190",38.349998
"191",39.93
"192",40.330002
"193",39.669998
"194",40.23
"195",39.849998
"196",39.869999
"197",40.52
"198",39.919998
"199",39.380001
"200",39.68
"201",38.630001
"202",39.23
"203",39.349998
"204",39.209999
"205",39.060001
"206",39.189999
"207",38.07
"208",38.740002
"209",38.610001
"210",38.91
"211",39.630001
"212",39.549999
"213",41.110001
"214",42.48
"215",42.759998
"216",42.610001
"217",42.740002
"218",42.529999
"219",41.720001
"220",42.07
"221",39.950001
"222",40.25
"223",40.869999
"224",40.330002
"225",39.619999
"226",39.009998
"227",39.630001
"228",38.91
"229",38.880001
"230",38.5
"231",39.34
"232",40.639999
"233",41.279999
"234",41.669998
"235",41.68
"236",41.869999
"237",42.23
"238",42.860001
"239",42.939999
"240",42.830002
"241",42.060001
"242",42.48
