"","close"
"1",25.809999
"2",26.18
"3",26.58
"4",27.65
"5",27.34
"6",27.34
"7",27.43
"8",27.9
"9",28.52
"10",27.76
"11",28.17
"12",28.5
"13",29.08
"14",28.15
"15",27.57
"16",26.799999
"17",28.280001
"18",28.32
"19",27.870001
"20",28.219999
"21",28.42
"22",27.799999
"23",26.93
"24",27.51
"25",27.129999
"26",27.200001
"27",27.370001
"28",27.190001
"29",26.92
"30",27.41
"31",27.219999
"32",27.25
"33",27.309999
"34",28.209999
"35",27.75
"36",28.48
"37",28.23
"38",28.530001
"39",27.799999
"40",27.809999
"41",27.379999
"42",27.809999
"43",28.530001
"44",28.709999
"45",28.82
"46",29.629999
"47",30.42
"48",30.700001
"49",30.780001
"50",31.59
"51",32.16
"52",31.91
"53",31.85
"54",32
"55",32.099998
"56",32.119999
"57",32.290001
"58",32.25
"59",32.200001
"60",31.969999
"61",32.389999
"62",32.470001
"63",32.919998
"64",33.529999
"65",33.220001
"66",33.68
"67",33.849998
"68",34.049999
"69",33.509998
"70",34.549999
"71",34.18
"72",33.759998
"73",34.009998
"74",34.560001
"75",35.110001
"76",34.34
"77",34.279999
"78",33.330002
"79",32.560001
"80",32.700001
"81",33.52
"82",33.240002
"83",34.169998
"84",33.540001
"85",33.200001
"86",32.220001
"87",32.240002
"88",34.02
"89",34.82
"90",35.610001
"91",35.169998
"92",34.049999
"93",33.73
"94",32.540001
"95",32.290001
"96",30.42
"97",31.360001
"98",30.1
"99",30.52
"100",30.120001
"101",31.08
"102",30.24
"103",29.77
"104",30.73
"105",30.459999
"106",29.23
"107",28.84
"108",28.98
"109",28.709999
"110",30.129999
"111",30.209999
"112",29.799999
"113",30.35
"114",30.299999
"115",29.719999
"116",29.57
"117",29.43
"118",29.059999
"119",28.82
"120",28.17
"121",28.76
"122",28.530001
"123",27.280001
"124",26.309999
"125",26.43
"126",26.02
"127",26.530001
"128",27.35
"129",27.540001
"130",28.18
"131",28.120001
"132",28.59
"133",27.92
"134",27.690001
"135",26.379999
"136",26.110001
"137",26.549999
"138",25.91
"139",25.34
"140",25.540001
"141",25.99
"142",26.09
"143",25.559999
"144",25.049999
"145",24.83
"146",25.35
"147",24.809999
"148",25.09
"149",25.25
"150",25.200001
"151",25.35
"152",25.24
"153",24.23
"154",23.84
"155",23.83
"156",23.799999
"157",23.85
"158",23.84
"159",23.280001
"160",23.110001
"161",22.620001
"162",22.4
"163",22.26
"164",22.27
"165",22.719999
"166",21.870001
"167",22.120001
"168",23.030001
"169",23.120001
"170",23.559999
"171",22.690001
"172",23.209999
"173",23.93
"174",23.65
"175",24.370001
"176",23.43
"177",23.6
"178",23.280001
"179",23.030001
"180",23.68
"181",23.75
"182",23.66
"183",23.629999
"184",24.51
"185",24.059999
"186",24.07
"187",24.25
