1,30.65
2,30.63
3,30.6
4,30.52
5,30.36
6,30.27
7,30.37
8,30.0
9,30.04
10,30.58
11,29.89
12,30.08
13,30.39
14,30.36
15,30.66
16,31.13
17,30.41
18,30.67
19,31.12
20,31.4
21,31.78
22,31.37
23,31.57
24,31.73
25,30.98
26,30.75
27,30.79
28,30.97
29,30.64
30,30.8
31,30.82
32,31.21
33,31.28
34,31.39
35,30.89
36,30.66
37,30.17
38,30.61
39,30.1
40,30.38
41,30.9
42,31.35
43,31.24
44,31.01
45,30.1
46,30.41
47,30.02
48,29.27
49,29.69
50,29.77
51,29.97
52,30.23
53,30.67
54,30.57
55,30.82
56,30.77
57,30.35
58,30.6
59,30.94
60,31.16
61,31.51
62,31.52
63,31.35
64,31.41
65,31.74
66,32.26
67,32.49
68,32.18
69,32.55
70,32.66
71,32.72
72,32.64
73,32.87
74,32.82
75,33.14
76,33.32
77,33.46
78,32.92
79,33.09
80,32.96
81,32.48
82,32.68
83,33.23
84,33.43
85,33.31
86,32.96
87,33.42
88,32.78
89,33.11
90,33.38
91,32.99
92,32.98
93,33.68
94,33.22
95,33.83
96,33.88
97,34.12
98,33.88
99,34.02
100,34.16
101,34.17
102,34.88
103,34.95
104,35.05
105,34.8
106,34.58
107,34.8
108,35.14
109,34.84
110,34.83
111,35.06
112,35.1
113,35.46
114,35.73
115,35.68
116,35.63
117,35.74
118,35.47
119,35.6
120,35.69
121,36.43
122,36.42
123,36.4
124,36.08
125,35.5
126,35.48
127,35.46
128,35.57
129,35.87
130,35.7
131,35.32
132,35.53
133,35.49
134,35.64
135,35.34
136,35.91
137,35.76
138,35.6
139,34.49
140,34.32
141,34.26
142,33.96
143,33.81
144,33.93
145,33.93
146,33.52
147,33.76
148,33.81
149,33.86
150,33.87
151,34.01
152,34.48
153,35.06
154,35.2
155,35.06
156,35.05
157,34.19
158,33.87
159,33.98
160,33.94
161,33.97
162,33.75
163,34.03
164,33.82
165,33.4
166,33.67
167,33.14
168,32.66
169,32.76
170,33.69
171,33.73
172,33.82
173,33.53
174,34.22
175,34.0
176,33.6
177,34.06
178,34.69
179,34.71
180,34.63
181,34.81
182,34.78
183,34.56
184,34.43
185,33.97
186,33.89
187,33.87
188,33.66
189,33.55
190,32.88
191,33.63
192,33.49
193,33.04
194,33.26
